Description,Sentiment_Analysis,Polarity,Topic
platform son sayimiz 15 mayis 15 haziran hollanda türkiye corona,1,0.9226762056350708,teknoloji 
haydi türkiye bir süre su corona denilen müsibetle hijyen sosyal mesafe kurallarina uyarak mücadeleye devam ediyoruz yasaklarbitince corona corona sokagacikmayasagi,-1,-0.9815191030502319,dunya 
mesnevi musothegreat corona suriye libya hezimetleri putini sorgulatan cinsten bak türkiyede iç siyasette buna benzer ilerlemeye baslayacak dis müdahalelerdeki basari iç siyasette karsilik bulcak ortak olarak ekonomimizde follas oldu dd siyasetlerimiz benziyo,1,0.8604564666748047,dunya 
dünyanin mücadele ettigi milyonlarca insanin bulastigi binlerce insanin can kaybettigi salgin herhalde söz sadece türkiyede söyleniyor dur yalan oglum corona si dünyayi kandiriyor lar diyen,-1,-0.9535061717033386,dunya 
karaca0244 nurayblgl1 filmin türkiye yayin haklari alindi nisan basinda vizyona girecekti malum corona salgini nedeniyle sinemalar kapandi hayat normale döndükten sonra sonbahar film vizyona girecek,-1,-0.9410247802734375,kultur 
dünyanin corona virüste agresif sorumsuz durusu insan hayatinin dünya ülkeleri denli önemsiz 100 ülkeye yardim ulastiran türkiye insan hayatinin denli önemli oldugunun bir ispatidir coronavirus,-1,-0.9976414442062378,teknoloji 
türkiyede son bir gün içinde 839 yeni vakanin tespit edilmesi sonucu vaka sayisi 163 bin 942 oldu bugün 25 vatandasimiz corona virüsü salgini nedeniyle hayatini kaybetti vefat edenlerin sayisi 4 bin 540’a yükseldi sagisolukes,0,-0.519008994102478,saglik 
corona vs türkiye 2raund kapismasi sabah basliyor,1,0.9906072020530701,teknoloji 
deryatr hocam corona türkiye turuna baslar mi,1,0.8772246241569519,spor 
türkiye’nin dört yanina yayilan corona temsili degil,-1,-0.937978208065033,kultur 
rterdogan güçlü türkiye milliteknolojihamlesi türklergeliyor covid19 coronavirus corona,1,0.9789068698883057,teknoloji 
siskozann bodiroga0658 kenandemiray13 onu zaten öldürecekler öyle verecekler türkiye ye ötmesin corona protesto,-1,-0.8904358148574829,kultur 
2020 yili corona sonrasi meteor düsmeden dinazorlar ortaya çikmadan abd nin türkiye den askeri yardim istemesini görücez herhalde thenext abdyaniyor,1,0.7279000878334045,teknoloji 
türkiye dünyayi sarsan corona salgini felaketinde basarili mücadele yöntemi uygulayan ülkelerin basinda geliyor saglik politikasinin insan odakli olmasi corona döneminde açilan hastanelerin niteliginde görülüyor sagliklitürkiye,0,0.5552517175674438,saglik 
barisyarkadas vekilince yine mi batti elinde hesap makinasi türkiye 40 milyon corona var yalanini izlerken bisey yok,-1,-0.9964736104011536,siyaset 
saciten2 süreç nasil isleyecek merakliyim anlamadigim corona türkiye’de ilk görüldügünde bir kiside görüldü hayat durdu bugün 900 civarinda vaka var hayat normallesiyor,-1,-0.8374982476234436,saglik 
zeljkoibo ugurertekiin türkiye’ye giris iznini corona dolayisiyla hirvat konsoloslugu veriyor ibo mudur mantigin ayip yav,-1,-0.9627047777175903,dunya 
türkiye dünyayi sarsan corona salgini felaketinde basarili mücadele yöntemi uygulayan ülkelerin basinda geliyor saglik politikasinin insan odakli olmasi corona döneminde açilan hastanelerin niteliginde görülüyor,-1,-0.9181818962097168,saglik 
allahim içim içime sigmiyor çiglik atasim var zor tutuyorum kendimi hala inanamiyorum zaman durdu gece nasil geçecek yarin ilkleri yasayacagim oy corona rahat birak artik bizi terket git türkiyeyi,-1,-0.9022796750068665,kultur 
günlerde çikip ben corona ilacini buldum iste derse müthis bir avantaj saglamis olursüper lig oyucusu olurbunun türkiye olmasi büyük arzumuzdurkaos içindeki bir ülke buldum derse kuskuyla bakilabilir abdyaniyor milliteknolojihamlesi millihesaplarburda,1,0.949199378490448,spor 
geceden itibaren türkiye insanlar farkli sehirlere kisitlamasiz gidecek artik degil mi insallah corona tekrar çogalmaz,-1,-0.7905838489532471,dunya 
